dispensary_name,postal_city,county,full_address,long,lat
The Flowershop St. Helens,Warren,Columbia,"56821 Columbia River Hwy , Warren, Or",-122.8486822,45.8202336
Coastal Cannabis,Bandon,Coos,"87360 Hoffer Lane , Bandon, Or",-124.4208571,43.0324443
Herbal Choices ,Bandon,Coos,"50375 Hwy 101  , Bandon, Or",-124.4148196,43.104628
Red Barn Dispensary,Bandon,Coos,"265 North Ave. , Bandon, Or",-124.3976835,43.1192741
Arathi,Coos Bay,Coos,"63049 Highway 101 , Coos Bay, Or",-124.2064049,43.3560559
Bahama Buds,Coos Bay,Coos,"1415 N Bayshore Dr  , Coos Bay, Or",-124.2175813,43.3783087
Herbal Choices,Coos Bay,Coos,"63247 Troller Road , Coos Bay, Or",-124.318561,43.3382457
Herbal Choices,Coos Bay,Coos,"965 S 1St St , Coos Bay, Or",-124.2124236,43.35864
King Kannabis,Coos Bay,Coos,"1544 Newmark Avenue , Coos Bay, Or",-124.2614949,43.3919843
Mr. Nice Guy Coos Bay,Coos Bay,Coos,"852 S Broadway , Coos Bay, Or",-124.2129198,43.3603242
Mr. Nice Guy Retail,Coos Bay,Coos,"275 S. Broadway , Coos Bay, Or",-124.2133078,43.3662174
Positive Vibrations,Coos Bay,Coos,"1195 Newmark Ave Suite A , Coos Bay, Or",-124.2669043,43.3912334
Redbarn Dispensary,Coos Bay,Coos,"170 S Empire Blvd. , Coos Bay, Or",-124.2778897,43.392426
Rooted Coast Cannabis,Coos Bay,Coos,"2770 Woodland Drive Suite A, Coos Bay, Or",-124.238609,43.3873133
S & S Emporium,Coos Bay,Coos,"294 Central , Coos Bay, Or",-124.214889,43.368057
Cannabinoid Exchange,Coquille,Coos,"1080 W Central Blvd , Coquille, Or",-124.2001806,43.1864264
Natural High,Coquille,Coos,"749 Riverside Drive Suite A , Coquille, Or",-124.197078,43.1741886
Red Barn Dispensary,Coquille,Coos,"0 North Birch Street , Coquille, Or",-124.190877,43.175559
Buds 4 U,Lakeside,Coos,"72217 Hwy101 , Lakeside, Or",-124.1818405,43.5914812
La Mota,Myrtle Point,Coos,"1994 Roseburg Road , Myrtle Point, Or",-124.1300564,43.0508083
Redbarn Dispensary,Myrtle Point,Coos,"1107 Maryland Ave. , Myrtle Point, Or",-124.1363202,43.0596148
Coastal High Ways,North Bend,Coos,"2233 Broadway , North Bend, Or",-124.2391068,43.403425
Herbal Choices,North Bend,Coos,"1845 Sherman Avenue , North Bend, Or",-124.2236738,43.4087967
The Pursuits Of Happiness,North Bend,Coos,"1760 Virginia Avenue  , North Bend, Or",-124.2359918,43.4067899
"Today'S Herbal Choice Nb, Llc",North Bend,Coos,"3682 Tremont Ave , North Bend, Or",-124.2207415,43.389503
Bud Bros Llc,Brookings,Curry,"1240 Chetco Ave., Ste E, F , Brookings, Or",-124.2970109,42.0575137
High Tide Wellness Center,Brookings,Curry,"15957 Us-101 Suite #4, Brookings, Or",-124.2487558,42.0421671
La Mota Brookings ,Brookings,Curry,"307 Fern Ave , Brookings, Or",-124.2807668,42.0515913
South Coast Dispensaries And More,Brookings,Curry,"1025 Chetco Ave #4 , Brookings, Or",-124.2919429,42.0550965
Stateline Cannabis,Brookings,Curry,"14377 Highway 101 S.,  Unit B , Brookings, Or",-124.2079237,41.9997036
"Tryke City, Llc",Brookings,Curry,"407 Oak St. Unit B , Brookings, Or",-124.2782718,42.0529923
West Coast Organics,Brookings,Curry,"855 Railroad Street Ste. C, Brookings, Or",-124.288959,42.0519758
World Famous Top Shelf Cannabis,Brookings,Curry,"704 Chetco Ave Suite A , Brookings, Or",-124.2836323,42.0525829
Club Sockeye,Gold Beach,Curry,"29970 Ellensburg Ave , Gold Beach, Or",-124.4179407,42.4208485
La Mota ,Gold Beach,Curry,"29846 Ellensburg Ave , Gold Beach, Or",-124.4196801,42.4176752
Budmart,Harbor,Curry,"97900 Shopping Center Ave. Suite #37 , Harbor, Or",-124.2620753,42.0494837
5Th Lmnt,Bend,Deschutes,"63552 N Hwy 97 , Bend, Or",-121.2948934,44.1079884
Cannabend,Bend,Deschutes,"3312 N Highway 97 , Bend, Or",-121.3058414,44.0860927
Cannabis Nation Sunriver,Bend,Deschutes,"56789 Lunar Drive , Bend, Or",-121.456825,43.8627226
Creative Crops Rec,Bend,Deschutes,"265 Se Scott Street , Bend, Or",-121.3031247,44.0496483
Diamondtree,Bend,Deschutes,"2715 E Highway 20 , Bend, Or",-121.2631518,44.0546495
Diamondtree,Bend,Deschutes,"1233 Nw Galveston Ave , Bend, Or",-121.3295721,44.0563948
Dr. Jolly'S,Bend,Deschutes,"415 Se 3Rd St , Bend, Or",-121.3027633,44.0461063
Fyre,Bend,Deschutes,"2650 Ne Division St , Bend, Or",-121.3052458,44.0758947
Green Cross Cannabis Emporium,Bend,Deschutes,"341 Sw Century Dr. , Bend, Or",-121.332137,44.046447
Higher Elevation,Bend,Deschutes,"817 Nw Hill Street , Bend, Or",-121.3090102,44.0583048
Jenny'S Dispensary,Bend,Deschutes,"932 Ne 3Rd St , Bend, Or",-121.3021573,44.059521
Miracle Greens,Bend,Deschutes,"905 Se 3Rd St , Bend, Or",-121.3033979,44.0414255
Mr. Nice Guy Bend,Bend,Deschutes,"224 Se Davis Ave , Bend, Or",-121.3032762,44.0493758
Nw Chronic,Bend,Deschutes,"325 Ne Franklin Ave , Bend, Or",-121.3017599,44.0557431
Oregon Euphorics,Bend,Deschutes,"70 Sw Century Dr. Suite #170, Bend, Or",-121.3304754,44.0509553
Oregrown Bend,Bend,Deschutes,"1199 Nw Wall St. , Bend, Or",-121.3116487,44.0616776
Plantae,Bend,Deschutes,"2115 Ne Hwy 20 Suite 107, Bend, Or",-121.2717822,44.0540778
Smokelore,Bend,Deschutes,"324 Nw Hill St , Bend, Or",-121.3084765,44.0539775
Substance,Bend,Deschutes,"1814 Ne Division St. , Bend, Or",-121.3055765,44.0679742
Substance,Bend,Deschutes,"20365 Empire Ave. Ste 140 , Bend, Or",-121.3057519,44.091334
Substance,Bend,Deschutes,"61406 S Hwy 97 , Bend, Or",-121.3105844,44.0300306
The Herb Center,Bend,Deschutes,"2205 Ne Division St.  , Bend, Or",-121.3061175,44.0718392
The Local Market,Bend,Deschutes,"1216 Ne 1St Street Suite 100 , Bend, Or",-121.305224,44.06237
Tokyo South,Bend,Deschutes,"61230 S Hwy 97 , Bend, Or",-121.314631,44.0236644
Tokyo Starfish,Bend,Deschutes,"542 Nw Arizona Avenue , Bend, Or",-121.3151897,44.0516612
Tokyo Starfish 3,Bend,Deschutes,"923 Se 3Rd St. , Bend, Or",-121.3034572,44.0411852
Top Shelf Medicine,Bend,Deschutes,"815 Ne Greenwood Ave , Bend, Or",-121.2935081,44.059589
Green Knottz,La Pine,Deschutes,"51546 Highway 97 #7 , La Pine, Or",-121.5010769,43.6726035
Hd Botanicals,La Pine,Deschutes,"51366 Hwy 97 , La Pine, Or",-121.5067651,43.6660106
House Of Hash,La Pine,Deschutes,"51456 Hwy 97 #3 , La Pine, Or",-121.5034263,43.6689082
La Mota,Drain,Douglas,"257 2Nd St , Drain, Or",-123.3163886,43.6633132
Redbarn Cannabis,Myrtle Creek,Douglas,"1069 N Old Pacific Hwy , Myrtle Creek, Or",-123.2999196,43.0064426
Coastal High Ways Reedsport,Reedsport,Douglas,"470 Fir Ave , Reedsport, Or",-124.0980088,43.7017441
Herbal Choices,Reedsport,Douglas,"1891 Winchester Avenue , Reedsport, Or",-124.1185435,43.6964111
Redbarn Dispensary,Reedsport,Douglas,"1780 Winchester Ave , Reedsport, Or",-124.1160158,43.6963502
The House Of Dank Llc,Reedsport,Douglas,"379 Fir Ave  Units 6-8 , Reedsport, Or",-124.0967292,43.7025906
"Today'S Herbal Choice Reedsport, Llc",Reedsport,Douglas,"1051 Hwy 101 S , Reedsport, Or",-123.4675447,48.1067027
420 Club Llc,Roseburg,Douglas,"2566 Ne Stephens St , Roseburg, Or",-123.3532114,43.241517
Cannaking Marijuana Dispensaries,Roseburg,Douglas,"1449 Nw Mulholland Dr , Roseburg, Or",-123.3591627,43.2271168
Cougar Cannabis Llc,Roseburg,Douglas,"1989 Ne Diamond Lake Blvd , Roseburg, Or",-123.3337758,43.2131287
Fx 420 Inc,Roseburg,Douglas,"161 Nw Garden Valley Blvd, Suite 105 , Roseburg, Or",-123.3552174,43.2263451
La Mota ,Roseburg,Douglas,"644 Se Cass Ave , Roseburg, Or",-123.3466539,43.2088657
La Mota Roseburg 2 Llc,Roseburg,Douglas,"573 Ne Stephen'S St , Roseburg, Or",-123.343154,43.21798
Redbarn Dispensary,Roseburg,Douglas,"634 W Umpqua St , Roseburg, Or",-123.359493,43.2133404
Redbarn Dispensary,Roseburg,Douglas,"1810 Ne Stephens St. , Roseburg, Or",-123.3512389,43.2316587
Umpqua Green Cross,Roseburg,Douglas,"2485 Ne Diamond Lake Blvd  , Roseburg, Or",-123.3244078,43.2127229
Green Knottz Chiloquin,Chiloquin,Error,"131 S 1St Ave. , Chiloquin, Or",-121.8631055,42.5756704
Rocky Mtn Dispensary,John Day,Error,"27877 Apple Road , John Day, Or",-118.9852051,44.421433
M Thrive Organics Llc,Joseph,Error,"600 N Main Street , Joseph, Or",-117.2294502,45.357397
"A Better Way Medicinal Alternatives, Llc.",Klamath Falls,Error,"3255 Washburn Way #5 , Klamath Falls, Or",-121.756377,42.1983062
Emerald Triangle Dispensary,Klamath Falls,Error,"2226 Washburn Way , Klamath Falls, Or",-121.7580508,42.2070733
Emerald Triangle Dispensary,Klamath Falls,Error,"3480 Washburn Way Suite D , Klamath Falls, Or",-121.7579249,42.1945889
High Lakes Cannabis Co,Klamath Falls,Error,"2820 Maywood Dr , Klamath Falls, Or",-121.7595261,42.201343
Burnt River Farms Llc. ,Ontario,Error,"1055 Nw Washington , Ontario, Or",-116.9774885,44.0451326
Cannabis & Glass,Ontario,Error,"182 East Lane , Ontario, Or",-116.9403995,44.0234442
Elevation 2150,Ontario,Error,"2876 Sw 4Th Ave  Suite 1, Ontario, Or",-117.0034416,44.0248252
Hotbox Farms,Ontario,Error,"325 Ne Goodfellow Street , Ontario, Or",-116.9437467,44.0277591
The Bud House,Ontario,Error,"115 Ne 2Nd St , Ontario, Or",-116.9586911,44.026978
Top Crop Cannabis,Ontario,Error,"297 Se 10Th Street , Ontario, Or",-116.9508104,44.0225814
Treasure Valley Cannabis Company,Ontario,Error,"560 Se 12Th Avenue , Ontario, Or",-116.956609,44.0144806
Weedology,Ontario,Error,"591 East Idaho , Ontario, Or",-116.954193,44.0254691
Zion,Ontario,Error,"340 Se 13Th St , Ontario, Or",-116.9447176,44.0227065
Blazen Cannabis,Hines,Harney,"800 Highway 20 S  , Hines, Or",-119.085174,43.5461229
Tumbleweed Cannabis Co. Llc,Hines,Harney,"310 North Highway 20 , Hines, Or",-119.0795085,43.5670543
Evergreen Hood River,Hood River,Hood River,"1408 13Th St , Hood River, Or",-121.5249166,45.699943
Farm Grass Table,Hood River,Hood River,"4140 Westcliff Drive , Hood River, Or",-121.5581082,45.7100732
Frontier Farms,Hood River,Hood River,"602 Oak St. , Hood River, Or",-121.5165695,45.7090811
Gorge Greenery ,Hood River,Hood River,"13 Oak Street , Hood River, Or",-121.5110042,45.7085765
High Winds,Hood River,Hood River,"1817 Cascade Ave , Hood River, Or",-121.5309722,45.7093121
Hood River Naturals,Hood River,Hood River,"1020 Wasco Suite K , Hood River, Or",-121.5226893,45.7117691
Breeze Botanicals Ashland,Ashland,Jackson,"1526 Siskiyou Blvd , Ashland, Or",-122.6886811,42.183626
"House Of Leaves, Llc",Ashland,Jackson,"488 N Main Street , Ashland, Or",-122.7200206,42.2052216
Kaleafa,Ashland,Jackson,"1253 Siskiyou Blvd., Ste. C , Ashland, Or",-122.6935403,42.1866317
Madrone Cannabis Club,Ashland,Jackson,"481 Applegate Way , Ashland, Or",-122.6553961,42.1843934
Rogue Valley Cannabis - Ashland,Ashland,Jackson,"505 Siskiyou Blvd , Ashland, Or",-122.7078138,42.1937337
Rogue Valley Cannabis,Central Point,Jackson,"6388 Crater Lake , Central Point, Or",-122.8553625,42.4090844
Breeze Botanicals Gold Hill,Gold Hill,Jackson,"315 2Nd Ave   , Gold Hill, Or",-123.0472997,42.4313879
Skunkrx,Grants Pass,Jackson,"8979 Rogue River Hwy , Grants Pass, Or",-123.1722048,42.4301305
American Cannabis Company,Medford,Jackson,"2131 W Main Suite A , Medford, Or",-122.8963437,42.3232771
C&C Farms Rec Shop,Medford,Jackson,"2390 W Main St Suite D , Medford, Or",-122.901613,42.3249201
"Cannabiz Experience, Llc",Medford,Jackson,"333 N. Riverside , Medford, Or",-122.8729474,42.3307886
Cloud 9 Wellness,Medford,Jackson,"1411 Hilton Rd Tim@Cloud9Wellness.Com, Medford, Or",-122.8674576,42.354242
Dab Town Usa,Medford,Jackson,"1244 S Riverside Ave. , Medford, Or",-122.8617148,42.3139287
Emerald Triangle Dispensary,Medford,Jackson,"246 East 10Th Street , Medford, Or",-122.8690097,42.3241694
Emerald Triangle Dispensary,Medford,Jackson,"250 East 10Th Street , Medford, Or",-122.8689178,42.3242036
Emerald Triangle Dispensary,Medford,Jackson,"1818 Mcandrews , Medford, Or",-122.8584758,42.3412646
Fireside Dispensary,Medford,Jackson,"4149 S Pacific Hwy Unit A , Medford, Or",-122.8221869,42.2806273
Grateful Meds,Medford,Jackson,"2021 W Main St , Medford, Or",-122.8948879,42.3227153
Ground Up,Medford,Jackson,"429 S Central Avenue , Medford, Or",-122.8684623,42.3229382
Hijinx Cannabis Co,Medford,Jackson,"3943 S. Pacific Highway , Medford, Or",-122.8263368,42.2830676
House Of Leaves Medford,Medford,Jackson,"259 E Barnett Rd #1 , Medford, Or",-122.8589443,42.3173567
Kanopy 7,Medford,Jackson,"1252 W Mcandrews Road Unit 2, Medford, Or",-122.8985932,42.3278776
La Mota,Medford,Jackson,"1945 W Main St , Medford, Or",-122.8942144,42.3234665
La Mota,Medford,Jackson,"1258 S Riverside Avenue , Medford, Or",-122.8612254,42.3132468
La Mota ,Medford,Jackson,"620 W Stewart Ave , Medford, Or",-122.8770928,42.3131789
La Mota 6 Llc,Medford,Jackson,"17 S Riverside Ave , Medford, Or",-122.8701493,42.3271086
La Mota Medford 3 Llc,Medford,Jackson,"3460 N Pacific Hwy , Medford, Or",-122.9030934,42.3581234
Market Street Wellness,Medford,Jackson,"633 Market St #102 , Medford, Or",-122.8698614,42.3379653
Mother Earth Medicines,Medford,Jackson,"36 S. Riverside Avenue , Medford, Or",-122.8702591,42.3265581
Mr. Nice Guy Medford,Medford,Jackson,"35 W 8Th St , Medford, Or",-122.8729649,42.3246667
Mr. Nice Guy Retail,Medford,Jackson,"609 E. Jackson Street , Medford, Or",-122.8667424,42.331131
Ocean Grown Cannabis Company,Medford,Jackson,"1597 E Vilas Road East , Medford, Or",-122.8539636,42.3896045
Oregon Farmacy,Medford,Jackson,"1 West 6Th Street Suite 104 , Medford, Or",-122.8743599,42.3263106
Oregon Grown Cannabis Recreational Dispensary,Medford,Jackson,"1201 W. Stewart Ave , Medford, Or",-122.8886181,42.3125173
Pharm To Table,Medford,Jackson,"3528 S. Pacific Highway , Medford, Or",-122.8339463,42.2875414
Pharm To Table,Medford,Jackson,"3434 North Pacific Highway , Medford, Or",-122.9027234,42.3576522
Rogue Valley Cannabis - West Main,Medford,Jackson,"2060 West Main St , Medford, Or",-122.8954841,42.3240883
Sensible Cannabis Company,Medford,Jackson,"3338 N Pacific Hwy , Medford, Or",-122.9010192,42.3558325
The Spot Cannabis Collective,Medford,Jackson,"2590 Crater Lake Highway , Medford, Or",-122.8670178,42.3553852
The Wicked Flower Shoppe,Medford,Jackson,"600 East Jackson , Medford, Or",-122.8669716,42.3309361
Weedbucks,Medford,Jackson,"437 S. Central Avenue , Medford, Or",-122.8683815,42.3228101
Top Shelf Wellness Center,Phoenix,Jackson,"205 N Phoenix Rd Suite #C , Phoenix, Or",-122.8172365,42.2819878
Gold River Botanicals ,Rogue River,Jackson,"204 Madrone St. , Rogue River, Or",-123.1678251,42.4315712
Rogue River Herbal Pmc,Rogue River,Jackson,"510 East Main St  Ste C, Rogue River, Or",-123.1636931,42.4323659
Grateful Meds,Talent,Jackson,"630 Hwy 99 , Talent, Or",-122.7871599,42.247125
Green Valley Wellness,Talent,Jackson,"103 N Pacific Hwy  Units B & C, Talent, Or",-122.7850972,42.2456637
Talent Health Club,Talent,Jackson,"1007 S Pacific Highway Unit G, Talent, Or",-122.7694511,42.2377276
Top Shelf Wellness Center,White City,Jackson,"7162 Crater Lake Hwy , White City, Or",-122.8514193,42.4207249
Central Organics,Madras,Jefferson,"780 Sw 4Th St , Madras, Or",-121.1310409,44.6243942
Diamondtree,Madras,Jefferson,"380 N Highway 26 , Madras, Or",-121.1299298,44.6407337
Green Knottz Madras,Madras,Jefferson,"108 Sw D St  Ste A, Madras, Or",-121.1316536,44.633795
Pioneer Cannabis Co.,Madras,Jefferson,"141 Se 5Th Street , Madras, Or",-121.1313021,44.622509
Plantae,Madras,Jefferson,"1100 Sw Hwy 97  Ste 103, Madras, Or",-121.1328346,44.6203695
Bud Bros Llc,Cave Junction,Josephine,"335 South Redwood Highway , Cave Junction, Or",-123.6455429,42.1708034
Papa'S Dispensary,Cave Junction,Josephine,"214 N. Redwood Hwy. Suite E, Cave Junction, Or",-123.6464428,42.1703197
Cafe Verde,Grants Pass,Josephine,"2455 Rogue River Highway , Grants Pass, Or",-123.2910865,42.4240489
Diamond Cannabis ,Grants Pass,Josephine,"300 Sw 6Th Street , Grants Pass, Or",-123.32798,42.43817
Forward Cannabis,Grants Pass,Josephine,"1580 Ne 7Th Street Suite A, Grants Pass, Or",-123.3213783,42.4559834
Pure Cannabis & Cbd,Grants Pass,Josephine,"3600 Merlin Rd , Grants Pass, Or",-123.3681878,42.4966758
Redwood Cannabis Dispensary,Grants Pass,Josephine,"825 Ne F St , Grants Pass, Or",-123.3151863,42.4381211
Southern Oregon Cannabis Connection,Grants Pass,Josephine,"1950 Ne 7Th Street , Grants Pass, Or",-123.3211979,42.4612336
Tamerans,Grants Pass,Josephine,"3388 Merlin Rd.  , Grants Pass, Or",-123.370799,42.4971079
Bud Junction,Kerby,Josephine,"24394 Redwood Hwy , Kerby, Or",-123.6503987,42.1935726
River City Retail,Merlin,Josephine,"115 Galice Rd Suite A, Merlin, Or",-123.4246147,42.516727
The New Amsterdam,Lakeview,Lake,"15 N F St , Lakeview, Or",-120.3461652,42.1898558
Top Shelf Medicine 2,Lakeview,Lake,"18 North F Street , Lakeview, Or",-120.3456884,42.1898243
Blue River Grass Station,Blue River,Lane,"51752 Blue River Drive , Blue River, Or",-122.3393967,44.1540435
Apothecaria,Cottage Grove,Lane,"700 Row River Road , Cottage Grove, Or",-123.0398074,43.8025023
Mandy'S Sugar Shack,Cottage Grove,Lane,"339 Hwy 99 South , Cottage Grove, Or",-123.0616599,43.7941834
The Holistic Coop Llc,Cottage Grove,Lane,"1049 E Main St , Cottage Grove, Or",-123.0569507,43.7969628
The Medication Station,Cottage Grove,Lane,"1041 Hwy 99 North , Cottage Grove, Or",-123.1442693,44.0724373
Amazon Organics,Eugene,Lane,"3443 Hilyard St.  Suite F, Eugene, Or",-123.080992,44.0193458
Apothca,Eugene,Lane,"1205 Alder St , Eugene, Or",-123.0799525,44.046532
Cannabliss & Co. ,Eugene,Lane,"588 E. 11Th , Eugene, Or",-123.0838986,44.0474524
Electric Lettuce Eugene,Eugene,Lane,"1201 W 11Th Ave , Eugene, Or",-123.1112013,44.0478991
Elev8 Cannabis ,Eugene,Lane,"1409 Oak St , Eugene, Or",-123.0909076,44.0442532
Emerald City Medicinal ,Eugene,Lane,"1474 West 6Th Avenue  , Eugene, Or",-123.1150442,44.0530166
Eugene Og,Eugene,Lane,"2045 Franklin Blvd. , Eugene, Or",-123.0624264,44.0453177
Eugreen Health Center,Eugene,Lane,"1000 Obie Street Suite A , Eugene, Or",-123.1517272,44.0491278
Eugreen Health Center,Eugene,Lane,"1111 Willamette St. , Eugene, Or",-123.092495,44.0475561
Firehorse Trading Co.,Eugene,Lane,"233 W. 7Th Ave.  Suite B, Eugene, Or",-123.0963085,44.0523331
Flowr Of Lyfe,Eugene,Lane,"114 West Broadway , Eugene, Or",-123.0945991,44.049812
Going Green Eugene,Eugene,Lane,"439 W 1St Ave , Eugene, Or",-123.0993481,44.0589289
Grasslands Dispensary,Eugene,Lane,"154 Lawrence St , Eugene, Or",-123.0990295,44.0581553
Green Health Eugene ,Eugene,Lane,"607 Highway 99 N  , Eugene, Or",-123.1408903,44.0680056
Green Therapy ,Eugene,Lane,"85938 Hwy 99 S  , Eugene, Or",-123.1719789,44.1030411
High 5 Cannabis,Eugene,Lane,"86531 College View Road , Eugene, Or",-123.0216997,44.0131348
Higher Ground Dispensary,Eugene,Lane,"324 E 12Th Ave. Unit 2, Eugene, Or",-123.087786,44.04641
Holy Grail,Eugene,Lane,"1293 Lincoln Street , Eugene, Or",-123.0971012,44.0456547
Hunky Dory,Eugene,Lane,"675 Lincoln St , Eugene, Or",-123.0970943,44.0524392
"Hwy 99 Cannabis, Co.",Eugene,Lane,"1083 B Hwy 99 N. , Eugene, Or",-123.1448522,44.073116
Inhale Dispensary,Eugene,Lane,"86784 Franklin Blvd Unit A , Eugene, Or",-123.0246067,44.0179644
Jamaica Joel'S,Eugene,Lane,"37 W. 13Th Ave. Suite 201 , Eugene, Or",-123.0930938,44.0456901
